사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2025-12-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55105CG9781,삼성KODEXTop5PlusTotalReturn증권상장지수투자신탁[주식],삼성운용,,,20.38,36.73,86.52,74.11,,,9.87,19.95,70.23,54.05,2등급(높은 위험),0.19,"1,900","11,701",20190121,,ETF,,,
KR5236263400,한국밸류10년투자퇴직연금증권자투자신탁 1(주식)(C),한국투자밸류운용,5.82,9.91,11.34,20.24,86.27,46.50,8.54,10.73,9.87,19.95,70.23,54.05,2등급(높은 위험),1.35,"13,500",73,20130704,,,,,
KR5301AA1251,미래에셋TIGER증권증권상장지수투자신탁(주식),미래에셋운용,13.56,20.01,24.49,45.88,84.85,33.64,8.62,12.29,15.21,33.84,93.51,37.11,2등급(높은 위험),0.45,"4,500","1,882",20120515,계열사,ETF,,,
K55210C54403,신한패러다임코리아증권자투자신탁[주식](종류C-re),신한자산운용,,17.08,13.85,20.52,84.84,45.64,,5.63,5.39,9.23,32.46,17.72,2등급(높은 위험),1.10,"11,000",113,20180629,,,,,
K55101DH2341,한국투자ACEFn5G플러스증권상장지수투자신탁(주식),한국투자신탁운용,,,,31.05,84.69,72.53,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.50,"5,000",91,20210401,,ETF,,,
K55223DJ8901,KBRISE비메모리반도체액티브증권상장지수투자신탁(주식),KB운용,,,,28.80,84.16,70.01,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.57,"5,700","2,272",20210609,,ETF,,,
K553J1E46927,타임폴리오TIMEFOLIOK바이오액티브증권상장지수투자신탁[주식],타임폴리오자산운용,,,,,84.02,60.48,,,,,70.23,54.05,2등급(높은 위험),0.83,"8,300","4,046",20230816,,ETF,,,
K55105DH2776,삼성KODEX신재생에너지액티브증권상장지수투자신탁[주식],삼성운용,,,,34.34,83.20,42.40,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.56,"5,600","1,857",20210524,,ETF,,,
K553F0E44647,디에스Maestro증권자투자신탁[주식] 종류C-P2e,디에스운용,,,,,82.42,38.14,,,,,70.23,54.05,2등급(높은 위험),1.24,"12,400",169,20230712,,,,,
K55206E61196,키움KIWOOMK-테크TOP10증권상장지수투자신탁[주식],키움투자운용,,,,,82.10,74.60,,,,,70.23,54.05,2등급(높은 위험),0.81,"8,100",126,20231030,,ETF,,,
K55302E55278,베어링K-성장리더스증권자투자신탁(주식)ClassC-P2e,베어링운용,,,,,82.04,61.16,,,,,70.23,54.05,2등급(높은 위험),1.08,"10,800",6,20230811,,,,,
K55224DK4104,흥국HK베스트일레븐액티브증권상장지수투자신탁(주식),흥국운용,,,,25.52,81.37,44.56,,,,19.95,70.23,54.05,2등급(높은 위험),0.41,"4,100",142,20210705,,ETF,,,
K55105DW7453,삼성KODEX로봇액티브증권상장지수투자신탁[주식],삼성운용,,,,30.85,81.01,59.90,,,,19.95,70.23,54.05,2등급(높은 위험),0.57,"5,700","3,649",20221110,,ETF,,,
